Serial,Bin,X,Y,X_old,Y_old,VTH,GET VTH <1.5V,GET VTH >6V,VFSD,BVDSS_2,BVDSS_1,BVDSS bin2,Delta3,IPD_10V,IDSS1,IDSS2,IDSS3,Wafer_ID
1,2,1,13,1,0,2.655,2.6,2.655,0.5114,22.284,21.98,21.973,0.304,30.094,0.033,0.029,0.033,15
2,2,1,12,2,0,2.594,2.5,2.594,0.5071,21.614,21.329,21.331,0.285,30.419,0.036,0.032,0.036,15
3,2,1,11,3,0,2.592,2.5,2.592,0.5079,21.579,21.276,21.275,0.303,30.209,0.038,0.032,0.036,15
4,2,1,10,4,0,2.568,2.5,2.568,0.5081,21.585,21.23,21.228,0.355,29.989,0.038,0.033,0.038,15
5,2,1,9,5,0,2.578,2.5,2.578,0.5094,21.597,21.209,21.205,0.388,30.277,0.038,0.035,0.042,15
6,2,1,8,6,0,2.587,2.5,2.587,0.5096,21.57,21.202,21.202,0.368,30.514,0.065,0.099,0.136,15
7,2,1,7,7,0,2.597,2.5,2.597,0.5073,21.539,21.217,21.217,0.322,30.294,0.038,0.033,0.036,15
8,2,1,6,8,0,2.572,2.5,2.572,0.5058,21.434,21.2,21.2,0.234,29.997,0.039,0.033,0.038,15
9,2,1,5,9,0,2.528,2.5,2.528,0.5064,21.731,21.422,21.419,0.309,29.861,0.036,0.033,0.036,15
10,2,1,4,10,0,2.524,2.5,2.524,0.5062,21.567,21.325,21.325,0.242,30.282,0.036,0.032,0.036,15
11,2,1,3,11,0,2.553,2.5,2.553,0.5067,21.552,21.268,21.265,0.284,29.926,0.038,0.033,0.038,15
12,2,1,2,12,0,2.559,2.5,2.559,0.5056,21.466,21.239,21.24,0.227,29.719,0.039,0.035,0.039,15
13,2,1,1,13,0,2.569,2.5,2.569,0.5075,21.543,21.225,21.224,0.318,30.1,0.038,0.033,0.038,15
14,2,2,13,14,0,2.458,2.4,2.458,0.507,21.557,21.299,21.294,0.258,31.728,0.03,0.029,0.035,15
15,2,2,12,15,0,2.495,2.4,2.495,0.513,21.795,21.342,21.338,0.453,32.092,0.029,0.027,0.032,15
16,2,2,11,16,0,2.495,2.4,2.495,0.5293,22.16,21.478,21.472,0.682,32.109,0.029,0.026,0.03,15
17,2,2,10,17,0,2.453,2.4,2.453,0.5116,22.069,21.615,21.607,0.454,31.921,0.027,0.026,0.03,15
18,2,2,9,18,0,2.398,2.3,2.398,0.5139,21.967,21.477,21.473,0.49,30.874,0.03,0.029,0.032,15
19,2,2,8,19,0,2.31,2.3,2.31,0.5206,21.918,21.414,21.412,0.504,30.539,0.032,0.03,0.035,15
20,2,2,7,20,0,2.488,2.4,2.488,0.5084,21.706,21.391,21.385,0.315,31.758,0.029,0.026,0.03,15
21,2,2,6,21,0,2.471,2.4,2.471,0.5091,21.897,21.49,21.483,0.407,31.834,0.027,0.026,0.029,15
22,2,2,5,22,0,2.445,2.4,2.445,0.5139,22.237,21.672,21.666,0.565,31.722,0.027,0.026,0.03,15
23,2,2,4,23,0,2.417,2.4,2.417,0.5104,22.244,21.723,21.717,0.521,31.972,0.026,0.024,0.027,15
24,2,2,3,24,0,2.553,2.5,2.553,0.5093,22.311,21.968,21.954,0.343,28.344,0.036,0.033,0.036,15
25,2,2,2,25,0,2.544,2.5,2.544,0.509,22.157,21.857,21.85,0.3,27.978,0.039,0.035,0.039,15
26,2,2,1,26,0,2.585,2.5,2.585,0.5173,21.613,21.217,21.22,0.396,30.448,0.036,0.032,0.036,15
27,2,3,13,27,0,2.272,2.2,2.272,0.4997,21.365,21.097,21.096,0.268,31.66,0.03,0.029,0.032,15
28,2,3,12,28,0,2.309,2.3,2.309,0.5019,21.559,21.15,21.148,0.409,31.653,0.03,0.029,0.032,15
29,2,3,11,29,0,2.337,2.3,2.337,0.5276,21.786,21.209,21.209,0.577,31.901,0.03,0.027,0.032,15
30,2,3,10,30,0,2.33,2.3,2.33,0.5145,21.796,21.234,21.233,0.562,31.804,0.035,0.039,0.05,15
31,2,3,9,31,0,2.309,2.3,2.309,0.5031,21.614,21.183,21.179,0.431,31.647,0.03,0.029,0.032,15
32,2,3,8,32,0,2.298,2.2,2.298,0.623,21.843,21.196,21.196,0.647,31.79,0.03,0.029,0.032,15
33,2,3,7,33,0,2.28,2.2,2.28,0.5059,21.82,21.308,21.307,0.512,31.873,0.03,0.027,0.032,15
34,2,3,6,34,0,2.262,2.2,2.262,0.5075,21.699,21.27,21.27,0.429,31.811,0.03,0.027,0.03,15
35,2,3,5,35,0,2.254,2.2,2.254,0.5041,21.705,21.225,21.222,0.48,31.657,0.03,0.029,0.032,15
36,2,3,4,36,0,2.276,2.2,2.276,0.5017,21.653,21.249,21.247,0.404,31.813,0.039,0.047,0.059,15
37,2,3,3,37,0,2.319,2.3,2.319,0.4991,21.543,21.254,21.25,0.289,31.956,0.03,0.027,0.032,15
38,2,3,2,38,0,2.557,2.5,2.557,0.5087,22.114,21.819,21.814,0.295,28.739,0.038,0.033,0.038,15
39,2,3,1,39,0,2.559,2.5,2.559,0.5196,22.068,21.615,21.61,0.453,28.785,0.039,0.035,0.039,15
40,2,4,13,40,0,2.255,2.2,2.255,0.5183,21.651,21.076,21.076,0.575,31.401,0.032,0.029,0.033,15
41,2,4,12,41,0,2.302,2.3,2.302,0.5034,21.522,21.12,21.119,0.402,31.551,0.03,0.027,0.032,15
42,2,4,11,42,0,2.269,2.2,2.269,0.5108,21.748,21.18,21.178,0.568,31.645,0.03,0.027,0.032,15
43,2,4,10,43,0,2.273,2.2,2.273,0.5,21.458,21.109,21.104,0.349,31.528,0.03,0.029,0.032,15
44,2,4,9,44,0,2.247,2.2,2.247,0.5204,21.625,21.138,21.137,0.487,31.827,0.03,0.029,0.032,15
45,2,4,8,45,0,2.279,2.2,2.279,0.5,21.503,21.175,21.173,0.328,31.398,0.03,0.029,0.033,15
46,2,4,7,46,0,2.259,2.2,2.259,0.5171,21.659,21.115,21.115,0.544,31.847,0.03,0.029,0.032,15
